ID,Start time,Completion time,Gender,Age,Closest biggest city near you,Number of kids (<18y) living with you,Birth Year,Number of modules completed so far,Average mark so far2,Prediction for this module's mark,I enjoy working with data,I am excited about working with data,I am afraid of working with data,I am interested in understanding Data Analytics,I plan to work hard in this module,"Height (absolute value, in centimeters (cm) - sorry imperial system users!)",Height (relative)
15,12/17/20 11:02:01,12/17/20 11:06:24,Man,40-49,Shanghai,1,1972,5,67,60,Agree,Agree,Completely Disagree,Completely Agree,Completely Agree,180,average
16,12/17/20 11:08:51,12/17/20 11:14:48,Man,40-49,Pristina,2,1971,5,61,70,Agree,Meh,Disagree,Meh,Agree,187,tall
17,12/17/20 11:14:16,12/17/20 11:16:13,Woman,50-59,Durban,0,1968,5,63,70,Meh,Meh,Meh,Agree,Meh,140,average
18,12/17/20 11:21:14,12/17/20 11:25:21,Man,30-39,Baghdad ,1,1986,5,65,50,Agree,Agree,Disagree,Completely Agree,Completely Agree,172,average
19,12/17/20 11:53:53,12/17/20 12:02:22,Man,40-49,San Carlos City,2,1976,5,58,70,Completely Agree,Completely Agree,Disagree,Completely Agree,Completely Agree,163,average
20,12/17/20 12:07:34,12/17/20 12:15:09,Man,30-39,Lagos,1,1985,5,63,80,Agree,Agree,Disagree,Agree,Agree,171,tall
22,12/17/20 12:38:15,12/17/20 12:39:44,Woman,20-29,London,0,1997,5,60,65,Meh,Meh,Disagree,Meh,Completely Agree,162,average
23,12/17/20 12:42:52,12/17/20 12:49:28,Man,40-49,Kinshasa,3,1980,5,55,60,Completely Agree,Completely Agree,Completely Disagree,Completely Agree,Completely Agree,1.8,tall
24,12/17/20 13:19:52,12/17/20 13:23:36,Man,30-39,Miami,0,1990,5,66,60,Agree,Meh,Meh,Agree,Completely Agree,177,average
25,12/17/20 13:19:02,12/17/20 13:23:54,Woman,30-39,Singapore,0,1983,4,61.75,60,Agree,Completely Agree,Disagree,Completely Agree,Completely Agree,152,short
26,12/17/20 13:41:47,12/17/20 13:46:08,Man,30-39,Doha,2,1984,5,62,70,Completely Agree,Completely Agree,Completely Disagree,Completely Agree,Completely Agree,179,tall
27,12/17/20 13:32:54,12/17/20 13:46:57,Woman,40-49,Jerusalem,0,1971,5,61,65,Agree,Agree,Completely Disagree,Completely Agree,Completely Agree,163,average
28,12/17/20 13:46:18,12/17/20 13:50:37,Woman,50-59,New Jersey,2,1970,5,65,75,Completely Agree,Completely Agree,Disagree,Completely Agree,Completely Agree,160.02,short
29,12/17/20 14:05:37,12/17/20 14:06:34,Man,30-39,Seoul,0,1990,5,65,70,Completely Agree,Agree,Meh,Completely Agree,Completely Agree,177,average
30,12/17/20 14:24:53,12/17/20 14:27:14,Man,40-49,Cork,0,1971,5,66,60,Completely Agree,Completely Agree,Completely Disagree,Completely Agree,Completely Agree,178,average
31,12/17/20 14:27:28,12/17/20 14:32:43,Man,30-39,Lagos,3,1982,5,65.5,68,Agree,Agree,Disagree,Agree,Completely Agree,190,tall
32,12/17/20 14:33:17,12/17/20 14:35:05,Man,50-59,Birmingham,0,15021965,5,65,95,Completely Agree,Agree,Disagree,Completely Agree,Completely Agree,188,tall
33,12/17/20 14:41:39,12/17/20 15:14:33,Man,40-49,freetown,3,1977,5,55,55,Agree,Agree,Disagree,Agree,Agree,186,tall
34,12/17/20 15:15:13,12/17/20 15:17:54,Man,30-39,Dubai ,3,1981,5,60,60,Completely Agree,Completely Agree,Disagree,Completely Agree,Completely Agree,182,tall
